Interval,Transfer,Bitrate,Retr,Cwnd
650.00,2.17,18.2,0,154.0
651.00,1.86,15.6,0,154.0
652.00,2.17,18.2,0,154.0
653.00,1.86,15.6,0,154.0
654.00,2.17,18.2,0,154.0
655.00,2.17,18.2,0,154.0
656.00,1.86,15.6,0,154.0
657.00,2.17,18.2,0,154.0
658.00,1.86,15.6,0,154.0
659.00,2.17,18.2,0,154.0
660.00,2.17,18.2,0,154.0
661.00,1.86,15.6,0,154.0
662.00,2.17,18.2,0,154.0
663.00,2.17,18.2,0,154.0
664.00,2.17,18.2,0,154.0
665.00,1.86,15.6,0,154.0
666.00,2.17,18.2,0,154.0
667.00,1.86,15.6,0,154.0
668.00,2.17,18.2,0,154.0
669.00,2.17,18.2,0,154.0
670.00,2.17,18.2,0,154.0
671.00,1.86,15.6,0,154.0
672.00,2.17,18.2,0,154.0
673.00,2.17,18.2,0,154.0
674.00,1.86,15.6,0,154.0
675.00,2.17,18.2,0,154.0
676.00,2.17,18.2,0,154.0
677.00,1.86,15.6,0,154.0
678.00,2.17,18.2,0,154.0
679.00,2.17,18.2,0,154.0
680.00,2.17,18.2,0,154.0
681.00,1.86,15.6,0,154.0
682.00,2.17,18.2,0,154.0
683.00,1.86,15.6,0,154.0
684.00,2.17,18.2,0,154.0
685.00,2.17,18.2,0,154.0
686.00,1.86,15.6,0,154.0
687.00,2.17,18.2,0,154.0
688.00,1.86,15.6,0,154.0
689.00,2.17,18.2,0,154.0
690.00,1.86,15.6,0,154.0
691.00,2.17,18.2,0,154.0
692.00,2.17,18.2,0,154.0
693.00,1.86,15.6,0,154.0
694.00,2.17,18.2,0,154.0
695.00,2.17,18.2,0,154.0
696.00,1.86,15.6,0,154.0
697.00,2.17,18.2,0,154.0
698.00,1.86,15.6,0,154.0
699.00,2.17,18.2,0,154.0
700.00,1.86,15.6,0,154.0
701.00,2.17,18.2,0,154.0
702.00,1.86,15.6,0,154.0
703.00,1.86,15.6,0,154.0
704.00,2.17,18.2,0,154.0
705.00,1.86,15.6,0,154.0
706.00,2.17,18.2,0,154.0
707.00,1.86,15.6,0,154.0
708.00,1.86,15.6,0,154.0
709.00,2.17,18.2,0,154.0
710.00,1.86,15.6,0,154.0
711.00,1.86,15.6,0,154.0
712.00,2.17,18.2,0,154.0
713.00,1.86,15.6,0,154.0
714.00,2.17,18.2,0,154.0
715.00,1.86,15.6,0,154.0
716.00,2.17,18.2,0,154.0
717.00,1.86,15.6,0,154.0
718.00,2.17,18.2,0,154.0
719.00,1.86,15.6,0,154.0
720.00,1.86,15.6,0,154.0
721.00,1.86,15.6,0,154.0
722.00,2.17,18.2,0,154.0
723.00,1.86,15.6,0,154.0
724.00,2.17,18.2,0,154.0
725.00,1.86,15.6,0,154.0
726.00,1.86,15.6,0,154.0
727.00,1.86,15.6,0,154.0
728.00,2.17,18.2,0,154.0
729.00,1.86,15.6,0,154.0
730.00,2.17,18.2,0,154.0
731.00,2.17,18.2,0,154.0
732.00,1.86,15.6,0,154.0
733.00,2.17,18.2,0,154.0
734.00,1.86,15.6,0,154.0
735.00,2.17,18.2,0,154.0
736.00,1.86,15.6,0,154.0
737.00,2.17,18.2,0,154.0
738.00,1.86,15.6,0,154.0
739.00,2.17,18.2,0,154.0
740.00,2.17,18.2,0,154.0
741.00,2.17,18.2,0,154.0
742.00,1.86,15.6,0,154.0
743.00,2.17,18.2,0,154.0
744.00,1.86,15.6,0,154.0
745.00,2.17,18.2,0,154.0
746.00,2.17,18.2,0,154.0
747.00,1.86,15.6,0,154.0
748.00,2.17,18.2,0,154.0
749.00,1.86,15.6,0,154.0
750.00,2.17,18.2,0,154.0
751.00,2.17,18.2,0,154.0
752.00,1.86,15.6,0,154.0
753.00,2.17,18.2,0,154.0
754.00,1.86,15.6,0,154.0
755.00,2.17,18.2,0,154.0
756.00,1.86,15.6,0,154.0
757.00,2.17,18.2,0,154.0
758.00,1.86,15.6,0,154.0
759.00,2.17,18.2,0,154.0
760.00,2.17,18.2,0,154.0
761.00,1.86,15.6,0,154.0
762.00,1.86,15.6,0,154.0
763.00,2.17,18.2,0,154.0
764.00,2.17,18.2,0,154.0
765.00,2.17,18.2,0,154.0
766.00,1.86,15.6,0,154.0
767.00,1.86,15.6,0,154.0
768.00,2.17,18.2,0,154.0
769.00,2.17,18.2,0,154.0
